LETRA ORIGINAL                                              TRADUCCIÓN CHATGPT                                          TRADUCCIÓN FINAL
¡Oh, que calor, que calor, que calor, que calo-o-or! (15)	¡Oh, qué calor, qué calor, qué calor, qué calo-o-or! (15)   ¡Oh, qué calor, qué calor, qué calor, qué calo-o-or! (15)
Piragua, piragua (6)	                                    Piragua, piragua (6)                                        Piragua, piragua (6)
New block of ice, piragua (7)	                            Nuevo bloque de hielo, piragua (10)                         Hielo y sabor, piragua (7)
Piragua, piragua (6)	                                    Piragua, piragua (6)                                        Piragua, piragua (6)                                      
So sweet and nice, piragua (7)	                            Tan dulce y rica, piragua (8)                               Dulce y fresca, piragua (6)
Tengo de mango, tengo de parcha (10)	                    Tengo de mango, tengo de parcha (10)                        Tengo de mango, tengo de parcha (10)
De piña y de fresa (6)	                                    De piña y de fresa (6)                                      De piña y de fresa (6)
Tengo de china, de limon (8)	                            Tengo de china, de limón (8)                                Tengo de china, de limón (8)    
De peso y de peseta, ¡hey! (8)	                            De peso y de peseta, ¡hey! (8)                              De peso y de peseta, ¡hey! (8)
Piragua, piragua (6)	                                    Piragua, piragua (6)                                        Piragua, piragua (6)
New block of ice, piragua (7)	                            Nuevo bloque de hielo, piragua (10)                         Hielo y sabor, piragua (7)
Piragua, piragua (6)	                                    Piragua, piragua (6)                                        Piragua, piragua (6)
So sweet and nice, piragua (7)	                            Tan dulce y rica, piragua (8)                               Dulce y fresca, piragua (6)
It's hotter than the islands are today (10)	                Hace más calor que en las islas hoy (11)                    Hace un calor de muerte en la ciudad (10)
And Mr. Softee's trying to shut me down (10)	            Y el Sr. Softee quiere acabar conmigo (13)                  Y Mr. Softee a mí me quiere hundi-ir (10) // Y Mr. Softee quiere hundirme a mí-í
But I keep scraping by 'til I can say (10)	                Pero sigo raspando hasta que pueda decir (13)               Pero yo aguanto hasta que pueda gritar (11)
Hey, 'pana! I run this town (7)	                            ¡Hey, pana! Yo mando aquí (7)                               ¡Hey, pana! Yo mando aquí (7)
Piragua, piragua (6)	                                    Piragua, piragua (6)                                        Piragua, piragua (6)
Keep scraping by, piragua (7)	                            Sigo raspando, piragua (8)                                  Vuelvo a raspar, piragua (7)
Piragua, piragua (6)	                                    Piragua, piragua (6)                                        Piragua, piragua (6)
Keep scraping by, piragua (7)	                            Sigo raspando, piragua (8)                                  Vuelta a raspar, piragua (7)
Keep scraping by, keep scraping by (10)	                    Sigo raspando, sigo raspando (10)                           Vuelvo a raspar, vuelvo a raspar (8)
Lai lo le lo lai, lai lo le lo lai (10)	                    Lai lo le lo lai, lai lo le lo lai (10)                     Lai lo le lo lai, lai lo le lo lai (10) 
Keep scraping by, keep scraping by (10)	                    Sigo raspando, sigo raspando (10)                           Vuelvo a raspar, vuelvo a raspar (8)
Lai lo le lo lai, keep scraping by (11)	                    Lai lo le lo lai, sigo raspando (11)                        Lai lo le lo lai, vuelvo a raspar (8)
¡Que calor, que calor, que calor, que calor! (11)	        ¡Qué calor, qué calor, qué calor, qué calor! (12)           ¡Qué calor, qué calor, qué calor, qué calor! (12)


















